iter	Passed	Remaining
0	165	165529
1	167	83572
2	168	56163
3	170	42405
4	171	34175
5	173	28677
6	174	24751
7	176	21824
8	177	19537
9	178	17704
10	180	16221
11	182	15008
12	183	13961
13	185	13065
14	187	12282
15	188	11602
16	190	10993
17	191	10455
18	193	9969
19	194	9535
20	196	9148
21	197	8788
22	199	8462
23	200	8162
24	202	7885
25	203	7631
26	205	7394
27	206	7169
28	208	6964
29	209	6774
30	210	6595
31	212	6433
32	214	6276
33	215	6126
34	216	5982
35	218	5851
36	219	5724
37	221	5608
38	223	5495
39	224	5387
40	225	5285
41	227	5192
42	229	5099
43	230	5012
44	232	4927
45	233	4848
46	235	4772
47	236	4697
48	238	4625
49	239	4557
50	241	4490
51	242	4428
52	244	4368
53	246	4310
54	247	4254
55	249	4199
56	250	4145
57	251	4092
58	253	4042
59	254	3994
60	256	3948
61	257	3903
62	259	3859
63	260	3816
64	262	3776
65	264	3736
66	265	3696
67	266	3648
68	267	3612
69	269	3576
70	270	3544
71	272	3511
72	273	3478
73	275	3445
74	276	3414
75	278	3383
76	279	3353
77	281	3324
78	282	3296
79	284	3268
80	285	3241
81	287	3215
82	288	3190
83	290	3164
84	291	3134
85	292	3110
86	293	3080
87	295	3058
88	296	3035
89	298	3013
90	299	2990
91	300	2969
92	302	2947
93	303	2926
94	305	2906
95	306	2887
96	308	2867
97	309	2849
98	311	2830
99	312	2812
100	314	2795
101	314	2772
102	316	2755
103	317	2738
104	319	2722
105	320	2706
106	322	2690
107	323	2674
108	325	2659
109	326	2644
110	328	2629
111	329	2614
112	331	2600
113	332	2586
114	334	2572
115	335	2559
116	337	2546
117	338	2533
118	340	2517
119	341	2504
120	343	2491
121	344	2479
122	345	2461
123	346	2448
124	348	2436
125	349	2424
126	350	2412
127	351	2397
128	353	2384
129	354	2373
130	356	2362
131	357	2350
132	358	2339
133	360	2328
134	361	2317
135	363	2306
136	364	2296
137	365	2284
138	367	2274
139	368	2264
140	370	2254
141	371	2244
142	372	2235
143	374	2225
144	376	2218
145	377	2209
146	379	2201
147	381	2193
148	382	2186
149	384	2179
150	386	2171
151	387	2164
152	389	2156
153	391	2148
154	392	2141
155	394	2133
156	395	2125
157	397	2116
158	398	2108
159	400	2100
160	401	2092
161	403	2084
162	404	2077
163	406	2069
164	407	2061
165	408	2053
166	410	2045
167	411	2038
168	412	2030
169	414	2023
170	415	2016
171	417	2009
172	418	2002
173	420	1995
174	421	1988
175	423	1981
176	424	1974
177	426	1967
178	427	1960
179	428	1953
180	429	1943
181	431	1937
182	432	1930
183	434	1925
184	435	1918
185	436	1911
186	438	1905
187	439	1899
188	441	1892
189	442	1886
190	443	1880
191	445	1873
192	446	1868
193	448	1862
194	449	1856
195	451	1850
196	452	1844
197	453	1838
198	455	1832
199	456	1826
200	458	1821
201	459	1815
202	461	1810
203	462	1804
204	463	1799
205	465	1793
206	466	1787
207	468	1782
208	469	1777
209	470	1771
210	472	1765
211	473	1760
212	475	1755
213	476	1750
214	477	1744
215	479	1739
216	480	1734
217	482	1729
