iter	Passed	Remaining
0	162	162117
1	163	81637
2	164	54782
3	166	41368
4	167	33355
5	169	28033
6	170	24225
7	172	21343
8	173	19090
9	174	17281
10	175	15813
11	177	14580
12	178	13531
13	179	12633
14	180	11859
15	181	11192
16	183	10598
17	184	10064
18	185	9586
19	186	9154
20	187	8759
21	188	8401
22	190	8076
23	191	7781
24	192	7509
25	193	7258
26	195	7033
27	196	6818
28	197	6629
29	199	6441
30	200	6264
31	201	6101
32	202	5945
33	204	5797
34	205	5659
35	206	5531
36	207	5411
37	209	5294
38	210	5185
39	211	5084
40	213	4983
41	214	4892
42	215	4797
43	216	4708
44	217	4622
45	219	4542
46	220	4463
47	221	4386
48	222	4316
49	223	4247
50	224	4181
51	225	4117
52	227	4057
53	228	3998
54	229	3944
55	230	3891
56	232	3839
57	233	3786
58	234	3736
59	235	3690
60	237	3648
61	238	3607
62	239	3566
63	240	3524
64	242	3482
65	243	3446
66	244	3408
67	245	3369
68	247	3335
69	248	3300
70	249	3265
71	250	3232
72	252	3203
73	253	3170
74	254	3140
75	255	3109
76	257	3080
77	258	3052
78	259	3023
79	260	2995
80	261	2967
81	262	2941
82	263	2909
83	264	2884
84	265	2863
85	267	2839
86	268	2820
87	269	2797
88	271	2775
89	272	2755
90	273	2734
91	274	2713
92	276	2693
93	277	2673
94	278	2653
95	279	2635
96	281	2617
97	282	2599
98	283	2583
99	285	2568
100	286	2549
101	287	2532
102	288	2514
103	289	2497
104	291	2481
105	292	2464
106	293	2447
107	294	2433
108	296	2419
109	297	2405
110	298	2391
111	299	2378
112	301	2364
113	302	2349
114	303	2335
115	304	2322
116	305	2306
117	306	2292
118	307	2279
119	309	2267
120	310	2256
121	311	2242
122	312	2230
123	313	2218
124	315	2205
125	316	2192
126	316	2178
127	318	2167
128	319	2155
129	320	2144
130	321	2133
131	322	2121
132	323	2110
133	324	2099
134	326	2090
135	327	2080
136	328	2070
137	330	2061
138	331	2052
139	332	2043
140	333	2034
141	334	2022
142	336	2013
143	337	2004
144	338	1995
145	339	1986
146	340	1978
147	342	1969
148	343	1960
149	344	1951
150	345	1943
151	347	1936
152	348	1928
153	349	1920
154	350	1912
155	352	1905
156	353	1899
157	355	1892
158	356	1885
159	357	1878
160	358	1868
161	359	1860
162	361	1854
163	362	1847
164	363	1841
165	365	1834
166	366	1827
167	367	1821
168	369	1815
169	370	1809
170	371	1802
171	373	1795
172	374	1790
173	375	1784
174	377	1778
175	378	1772
176	379	1765
177	380	1759
178	382	1753
179	383	1747
180	384	1741
181	386	1735
182	387	1729
183	388	1723
184	389	1717
185	390	1710
186	391	1704
187	393	1698
188	394	1692
189	395	1686
190	396	1680
191	398	1675
192	399	1669
193	400	1663
194	401	1658
195	402	1652
196	403	1646
197	405	1641
198	406	1635
199	407	1629
200	408	1623
201	409	1618
202	410	1613
203	412	1609
204	413	1604
205	415	1601
206	416	1595
207	417	1590
208	418	1585
209	419	1579
210	421	1574
211	422	1569
212	424	1566
213	425	1561
214	426	1556
215	427	1552
216	428	1547
217	430	1542
218	431	1538
219	432	1533
220	433	1529
221	435	1524
222	436	1519
223	437	1514
224	438	1510
225	439	1506
226	441	1502
227	442	1497
228	443	1493
229	444	1489
230	446	1485
231	447	1480
232	448	1475
233	449	1471
234	450	1466
235	451	1461
236	452	1457
237	453	1453
238	455	1449
239	456	1445
240	457	1440
241	458	1436
242	459	1432
243	460	1427
244	461	1423
245	462	1419
246	464	1415
247	465	1410
248	466	1406
249	467	1402
250	468	1398
251	469	1394
252	471	1391
253	472	1387
254	473	1383
255	474	1379
256	475	1375
257	477	1372
258	478	1368
259	479	1364
260	480	1360
261	481	1357
262	483	1353
263	484	1349
264	485	1346
265	486	1342
266	487	1339
267	489	1335
268	490	1332
269	491	1329
270	492	1325
271	493	1321
272	495	1318
273	496	1316
274	498	1313
275	499	1311
276	501	1308
277	502	1304
278	503	1302
279	505	1299
280	506	1295
281	507	1292
282	509	1289
283	510	1285
284	511	1282
285	512	1280
286	514	1277
287	515	1275
288	517	1272
289	518	1269
290	520	1267
291	521	1264
292	522	1260
293	523	1257
294	524	1254
295	526	1251
296	527	1248
297	528	1245
298	530	1243
299	531	1239
300	532	1237
301	534	1234
302	535	1231
303	536	1228
304	537	1225
305	538	1222
306	540	1219
307	541	1216
308	542	1213
309	543	1210
310	545	1208
311	546	1205
312	547	1202
313	549	1199
314	550	1196
315	551	1193
316	552	1190
317	553	1187
318	554	1184
319	555	1181
320	557	1178
321	558	1176
322	560	1173
323	561	1170
324	562	1168
325	563	1165
326	564	1162
327	566	1160
328	567	1157
329	568	1155
330	570	1152
331	571	1149
332	572	1146
333	574	1144
334	575	1142
335	577	1140
336	578	1137
337	579	1134
338	580	1131
339	581	1128
340	582	1125
341	583	1122
342	584	1120
343	586	1117
344	587	1114
345	588	1112
346	589	1109
347	590	1107
348	591	1104
349	593	1101
350	594	1098
351	595	1096
352	596	1093
353	597	1090
354	598	1087
355	599	1084
356	600	1081
357	602	1079
358	603	1077
359	604	1075
360	606	1073
361	607	1070
362	608	1068
363	609	1065
364	610	1062
365	612	1060
366	613	1058
367	614	1055
368	616	1053
369	617	1050
370	618	1048
371	619	1046
372	621	1044
373	622	1041
374	623	1039
375	625	1037
376	626	1034
377	627	1032
378	628	1029
379	629	1027
380	630	1024
381	632	1022
382	633	1020
383	634	1018
384	635	1015
385	637	1013
386	638	1010
387	639	1008
388	640	1005
389	641	1003
390	642	1000
391	643	998
392	644	995
393	645	993
394	647	991
395	648	988
396	649	986
397	650	984
398	651	982
399	653	979
400	654	977
401	655	974
402	656	972
403	657	970
404	658	967
405	659	965
406	660	962
407	662	960
408	663	958
409	664	955
410	665	953
411	666	951
412	667	948
413	668	946
414	669	943
415	670	941
416	671	939
417	673	937
418	674	934
419	675	932
420	676	930
421	678	928
422	679	927
423	681	925
424	682	923
425	683	921
426	684	918
427	685	916
428	686	914
429	688	912
430	689	910
431	690	907
432	691	905
433	693	904
434	694	901
435	695	899
436	696	897
437	698	895
438	699	893
439	700	891
440	701	889
441	702	886
442	703	884
443	704	882
444	706	880
445	707	878
446	708	876
447	709	874
448	711	872
449	712	870
450	713	868
451	714	866
452	715	863
453	716	861
454	717	859
455	718	857
456	719	855
457	720	853
458	722	851
459	723	849
460	724	847
461	725	845
462	727	843
463	728	841
464	729	839
465	730	837
466	731	835
467	732	833
468	733	830
469	735	828
470	736	826
471	737	825
472	739	823
473	741	822
474	742	820
475	743	818
476	744	816
477	745	814
478	746	812
479	747	810
480	748	808
481	750	806
482	751	804
483	752	802
484	753	800
485	754	798
486	755	796
487	756	794
488	758	792
489	759	790
490	760	788
491	761	786
492	762	784
493	763	782
494	765	780
495	766	778
496	767	776
497	768	775
498	770	773
499	771	771
500	772	769
501	773	767
502	774	765
503	775	763
504	777	761
505	778	760
506	779	758
507	780	756
508	781	754
509	783	752
510	784	750
511	785	749
512	787	747
513	788	745
514	789	743
515	790	741
516	792	740
517	793	738
518	794	736
519	796	734
520	797	732
521	798	731
522	799	729
523	800	727
524	801	725
525	802	723
526	804	721
527	805	719
528	806	718
529	807	716
530	808	714
531	810	712
532	811	711
533	812	709
534	814	707
535	815	705
536	816	704
537	817	702
538	818	700
539	820	698
540	821	696
541	822	694
542	823	693
543	824	691
